sentence	label
@ chhavi Absolutely right But in the history of independent India inclusion & secularism were talked about but nev … https//tco/UunSfRgQ0O	neutral
@ Snowycaa Thicccccccc ! XD ( I can confirm that @ Snowycaa did this for a dare . I'm one of the witness hahaha .) 	positive
@ rajnathsingh congrats sir .... Lucknow ki shaan bada di aapne ... veerta aur shaurya ki missal ab aap pesh kariyega ... Jai Hind 	neutral
@ IamHaseebAhmad @ majorgauravarya @ UN Ha ha ha . Cow mutr peeke we have won all wars against you guys . You should st … https//t.co/bcPtVRPMYc	neutral
https//t.co/x4CcWjt1TA💐DostonMyNewsadsongPyarkiRaahKathinwrittenbyMybigbrotherShivendraSugam...on…https//t.co/Jw8noGqkSF	neutral
@ GdBakshiJe Modi ke jitne ka asar vipaksh pe he nahi padosiyo pe bhi hua hai . Bokhla gaye sare ke sare . Modi akela … https//t.co/zTp7lHsGrd	positive
@ IamImranAshraf Bholy bhayaa . Ufffff dil jeet liya ap ne . Love you imran bhai . Mind blowing ap ki acting hai . ALLA … https//t.co/2r7dXd3z6J	positive
@ Triumvirate1 @ darshanbhatt22 @ Cid _ r4y Pori dunya 2019 main or tum log abhi bhi 1971 main 😂😂😂😂 Growup Ab kisi ko bhaija to sath khud aa jana 	neutral
RT @ ooobhaishab @ TerriblyMemer ne aate hi half century kr di 😂 Thnku bhai itne like ke liye 😁 https//tco/xT4GHjMFt2	positive
@ pranchal54 @ RemovArticle370 @ BJP4India Jansankhya aur atikraman desh ka sabse bada samasya hai Beat plastic pollution Jai hind 	neutral
@ ObcCarvan @ Hariramkoushik OBC bhikhari nahi hai aur bhenchod bheemte obc naam ka account bnakar apni maa chuda rah … https//t.co/ldNzC4eLKV	negative
@ Dr _ fizakhan # Pakistani girls photo without Pakistan ka karz Ada karo Pakistani girls for Heera Mandi Mein Bata Do … https//tco/YNyPUqUGo1	neutral
@ aleemkhan _ pti Janab Thank you Very Much for your short Break @ my place )) May Allah protect you & your family … https//t.co/cFBKI3qagX	positive
@ gnnhdofficial @ Shahidmasooddr @ sayedzbukhari @ ImranKhanPTI @ PTIofficial @ pmln _ org @ MediaCellPPP Chalo g BC inhi c … https//t.co/MyrQnPgPIq	neutral
@ akashbanerjee 👌 CONGRATULATIONS 👌 AKASH BHAI AAP KO PHIR SE 5 SAAL ➕ KA CONTRACT ✔ MIL GAYA # KeepItUp NOTE - SORRY … https//tco/Uvf7ij1Fse	positive
@ peaceforchange Husain haqqani sab ap time nikal k mar q nahi jatay is dharti py bojh he ho tum gaddar besharam . 	negative
RT @ pepsi Nothing like a fresh hit of Pepsi on a day like today 👌 https//t.co/SUwcq5FQSv	positive
@ Rehan30837935 @ jalee _ na @ brumbyoz Pehle Tu apna photo DP rak phir bark kar kutte ki tarah Chal bhag yaha bandhar kahika 	negative
@ SrBachchan Sir need ur blessing on my 9 wedding anniversary myself my wife sonia Pranam you AAP ka ashirwad b … https//t.co/LlvlhlOcyu	positive
@ Abhishekkar _ CNBC 🤣🤣🤣🤣🤣🤣 AKA sir ne to CNBC ke pahele bol diya tha https//t.co/h1rAzqIHs0	neutral
Nxt five years main India change hone wala hai kyoki modi sarkar bht bda bdlav krne wali hai ... Ye main ni hmare modi sir ka kehna hai 	positive
@ IamImranAshraf Uff kya acting he Bholey ji apki !!! Kamaal krdya . Aisa koi actor hi nai abtk jo is charactr k saat … https//t.co/mO82shhOTP	positive
Raand Congress se v Randwa RJD se buri tarah se HAARA vote denewale ko sadhuwad 	neutral
RT @ Varun _ dvn KALANK in theatres now # Zafar aap ka hain A character I loved playing in this epic love story No spoilers please https//t…	positive
@ PiyushGoyal @ narendramodi Bahut bahut badhai AAP jaise logo ke Karan hi Modi ji Ko majboori Mili hai . isi tarah se … https//t.co/0F8OK0aQIW	positive
@ TahaSSiddiqui sasty or ghatya nashy kar k ye suwar samjhty is trah ki bakwas kar k humein sasti publicity mil jaegi 	negative
RT @ sanjaymanjrekar Proud to have been part of this brilliant commercial released during 1996 WC time . Great production team that include … 	positive
@ SKFforlife Haha Overrated kisko bolte hain chuuuu pehle yeh pata kar BC ata pata kuchh nahi chale aate hain … https//tco/BwbGTOzGs5	negative
POGO launches all new show kalari-kids Love the enthusiasm of my little ones when they saw # Chhotabheem dancing an … https//t.co/T8K47whZtL	positive
@ f _ i _ r _ k _ i Pakistani to aise hi 1992 ki rote rhte hain uss time to England ne 74 pe kar diya tha all-out . Iss baar bhi wohi ummeed hai 😂😂 	positive
I wanted to see you in Loksabha @ kanhaiyakumar It's OK kanhaiya ji vichaar badlenge desh badlega vidhyarthi … https//tco/mE0EgrIsXp	positive
@ JBhrahmin @ ankimast Wow tum red plain saree pahen na bahut cute lagegi . Red plain saree with sleeveless blouse . Will look so awasome 	neutral
@ ChaBoyyHD Chaa .. Can ihave any cheap Ak ? Cuz Ak it's my Fav Weapon .. If u wan we can battle .. if i win u give me … https//t.co/xFDIrkRYpE	positive
Day by day this slogan has proven to be true afghani bhagao mulk bachao ! 	negative
@ manakgupta wo election ke liye badha ke btaya tha accpt this is bar election commission or media ko bhi bewakoof bnaya h janta ke sath 	negative
@ republic He is a bemaar bhikhari kutta why was he dying dub his stupid movies in hindi no wonder the people of tn … https//t.co/jj2g6rNBHr	neutral
@ abpnewshindi ABP news 5 saal se mon nahi bhara Congress ko koste sawal karte ab tweet duwara mazaak urane aare … https//t.co/viwYGAryec	negative
RT @ SharmaRaghvi EVM hack ka bahana nhi chla paye 😜 Ab fir ye saath nikli slips ka le aaye Fir bhi ho gyi bye bye 👋👋 😝😜😂😂 # EVMScandal # EVM … 	neutral
RT @ Laliinsan1gmai1 Dhan dhan satguru tera hi aasra papa g good morning pita g @ Gurmeetramrahim @ derasachasauda # PledgeAgainstCorruption … 	positive
Manmohan Singh being considered for party presidents post Ek chuppi hazaar baton se behtar hai usse badhiya udaharan nahi ho sakta 	neutral
One India sabka saath sabka vikas sabka visvas https//t.co/0uLQ2GD2sc	positive
@ Aban __ Ind Prothom Kolkata campaigncalling media sangbad Biswa Bangla etc eisob chotokhato channel gulo dekho . Sudhu jai sree ram cholche . 	neutral
@ kshukla778 @ Payal _ Rohatgi Tere maa baap ne bohat badhiya sikhaya hai certificate batna sabko ki kaun kiska chamcha … https//t.co/xmdkSszCN2	negative
I miss them we were a craze .. we used for them .. bas koi kuch galat bolde .. old memories https//t.co/NeN57fFIVM	neutral
@ mamata _ for _ PM Mumtaz bano hindu ko dhamki de rahi hai . bengal me hi nai pure desh me hindu ka khoon garam ho chuka … https//t.co/3xoDg7raAt	positive
@ brokengaal i love u so much 😭♥️ and theres absolutely nothing to be insecure about bc ur unique in ur own way ok u … https//t.co/NOqwyyTgtI	positive
@ MaryamNSharif ap beti hein apko beshak apny baap ki yaad ati hoo gi Allah apko hosla dy pr certainly apka baap ek … https//tco/5VVnmK6vFx	positive
Thank you all for supporting @ wayuutaya THANK YOU . THANK YOU !!! strongwitheliza samanthajayz angelmartin00 galiya _ s … https//t.co/CdqQtuABKg	positive
@ dhruv _ rathee Han to gaand k keede cow meat kliye pehle se bnde convicted h yeh log aur jb ban h to teri maa ko khilane jaa rha tha 	negative
It ’ s proud moment for Ganjam that more than 83 students of Odisha Aadarsh Vidyalaya of Ganjam scored more than 90%… https//t.co/aTkLCOKzxT	positive
# PAKvWI 92 me WI 10 wickets se jeeta tha ajj 7 wickets se jeet gya world cup hamara hai .... Ye wali chawle koi na m … https//t.co/OLnE5K9PZO	positive
RT @ official _ engr @ peaceforchange Sir merey lye bahut khoshi ka maqam hoga agr ap ne mujy reply kya . Love you sir ❤ https//t.co/3U8gb93Jl9	neutral
I Love You '3000' I said ' Ek raat ka 5000 lungi ' she replied . # NewGFKiTalsshMe 	positive
@ engrzeeshan91 Pr ye oopr jo btaya wo to surgery ni h na 😂 	neutral
@ tamannaahspeaks Very nice Tamanna Tamanna very nice I like you 	positive
@ SachinPilot Apko deputy CM se minister chief kb bnaya ja rhaa h we r waiting 	positive
@ akshay _ vbk78 @ spectatorindex Tera pichwada hai bc 🤣🤣 jb se modi ji jeete hai jali padi hai 🤣 Tabse pichwaade ki jagah muh se hag rahe ho 	positive
@ SAfridiOfficial Shahid bahi wahab riaz ki bowling mein experience nahi sirf wide aur no balls hi hain 	negative
@ shirishy _ Isko nikal dia tha world cup 2011 me sayad Ek Banda call p Aya bolta h India england and Australia ni ayga semifinal m 	negative
RT @ Sukhjaykumar1 # PledgeAgainstCorruption @ Gurmeetramrahim Good afternoon guru g . bless us and give us power to do more and more Sewa S … 	positive
It ’ s so nice seeing the glow-up of people after May-hem 😍 Congrats guys 👌🏻 wohooo !!! Bbye Tired Year !!! 	positive
@ AcharyaPramodk Jitni media ne bjp ke liye prachar ki hai utna to khud bjp ne bhi bjp ke liye nahi surgical strike … https//tco/I2TP6XZOvG	positive
RT @ aftabkatauli1 @ khanumarfa @ thewire _ in @ therealnaomib @ SrishtiTW Siasat me rawadari hai samajhta hai . Wo roza to nahi rahta iftari sam … 	positive
@ SAMBIT _ PATRAg @ anjanaomkashyap Sab she pahele tere gahr me kanon lago kr kiyo ke teri faimly pr tera kabo nahi he … https//t.co/scfwME6S7m	neutral
@ arjunrammeghwal @ nstomar @ JoshiPralhad @ PIBHindi @ PIB _ India Arjun Ji 🙏🌹 jai punrasar baba ki Jai Bikaner Rajasthan … https//t.co/T6R7E5qpQM	neutral
@ theskindoctor13 Doc saab bahut he badhiya video banaya andhere se much better hai 	neutral
@ MalboBagums Sari shairi tassali aur dilasay pay hi munhasir hoti hai .. warna shairi kyun karay koi agar pas ho kuch 😜 	positive
@ hSghRjpt1 @ Nationalist _ Om gandhi ko ham isliye rastrapita mante hai kyu ki wo ahinsa vadi the ye nahi hote to aja … https//t.co/0QqC7oTlSQ	positive
@ kamaalrkhan If i am not wrong you loved soty 2 naa ??😹😹 	positive
Samaj mai ye nahi aaraha ki kyun halat mai sudhaar nahi ho raha hai kyun karyawahi nahi ki ja rahi roads per the … https//t.co/ZhyDlOgYwO	positive
@ squintneon Usko toh kejriwal ne khud reject kar diya tha . Education minister toh kejriwal khud bana sakta tha ? Raj … https//t.co/bea2LWY3ZQ	negative
@ sunoo _ chanda make a gentle and nice relation with someone .... life me kisi k sahare ki zarort parti ha 	neutral
@ dur _ rahiye Sex is cool but after nikah ose phele kise ko hath laga ne ka bhi haq nai hai hume 	positive
@ KElectricPk Sub bakwas ha ye apni harkaton se baz nhi ayen ge kisi na kisi fault ko jawaz bana kr ye light band ra … https//t.co/IoOO1y4XLt	negative
@ AamAadmiParty @ ArvindKejriwal x cm Shila dixet or under karne wale the feku tum annaji ko b dhokha de diya 	neutral
@ pramila2710 @ DrKumarVishwas Lekin itne kharab result se KUTA BAUNA HARAMI HANDSOME SUVAR SINGH etc ka gussa … https//tco/9sXAbdtkzA	negative
RT @ SonuNag13101789 # ValueTime _ ValueLife @ Gurmeetramrahim @ Derasachasauda Pujya guru ji kehte h ki jo insan samya ki kader karte h alasya … 	neutral
@ imMAK02 Are bsdkk ... Dhruv Tyagi ke bare main kitni bar Muslim aatankwad bola tune ... Vivek hatyakand ke bad teri zu … https//t.co/lCZbqkHD7b	negative
@ ZarinaBano _ Bharat ka Musalman hamesha secular govt k liye vote karta raha hai karta rahega . Haar jeet 1 sikke k d … https//t.co/CsOiGgFeOR	positive
Congress party ne pehle se feku bhakt Media ka agenda samaj liya hote to ye chunav nhi hartefeku bhakt Media ne fe … https//tco/GMIC7HjwOY	negative
@ Vipul49997183 @ dtptraffic Ghoda Ghaans se Dosti kar lega to khayega kya .. Delhi Sarkaar Home Ministry public ki na … https//t.co/EVp3m8f0i8	negative
RT @ BurgerKing for real tho we ’ re trying to pay off those loans . introducing Whopper Loans – make a purchase through the BK app for a cha … 	neutral
RT @ TAETAE _ PH Watching # BTSatWembley is making me miss them more . Sighhh I ’ m really hoping for BTS in PH 🥺😭💜 we miss you everyday guys @ BTS … 	positive
